  PSNR-Y       PSNR-U       PSNR-V       MSE-Y        MSE-U        MSE-V        SSIM-Y       SSIM-U       SSIM-V       SSIM-ALL     DMOS         MOS         
  18.69    30.93    35.71    879.36    52.45    17.46    0.44    0.80    0.87    0.57    44.65    55.35  
  19.14    31.16    35.89    792.58    49.83    16.75    0.48    0.81    0.89    0.60    44.65    55.35  
  19.14    31.15    35.90    792.76    49.84    16.73    0.48    0.81    0.89    0.60    44.65    55.35  
  19.19    30.73    35.76    783.59    54.94    17.26    0.48    0.80    0.88    0.60    44.65    55.35  
  19.21    30.27    35.66    780.34    61.15    17.65    0.49    0.80    0.89    0.61    44.65    55.35  
  19.38    29.66    35.28    749.57    70.34    19.26    0.50    0.80    0.89    0.62    44.65    55.35  
  19.57    30.54    35.78    717.61    57.41    17.17    0.51    0.81    0.89    0.62    44.65    55.35  
  19.64    31.22    36.34    707.20    49.06    15.11    0.52    0.82    0.89    0.63    44.64    55.36  
  19.64    31.22    36.35    706.85    49.06    15.07    0.52    0.82    0.89    0.63    44.64    55.36  
  19.70    30.84    36.27    697.30    53.64    15.33    0.52    0.81    0.89    0.63    44.64    55.36  
  19.65    30.70    36.07    704.05    55.29    16.06    0.50    0.82    0.89    0.62    44.65    55.35  
  19.66    30.72    36.06    703.64    55.14    16.11    0.50    0.82    0.89    0.62    44.65    55.35  
  19.55    30.68    36.15    721.66    55.66    15.77    0.49    0.82    0.90    0.61    44.65    55.35  
  19.54    30.68    36.17    723.35    55.55    15.71    0.49    0.82    0.90    0.61    44.65    55.35  
  19.82    30.49    36.43    678.03    58.08    14.80    0.50    0.82    0.90    0.62    44.65    55.35  
  20.08    30.48    36.43    638.24    58.26    14.81    0.51    0.83    0.90    0.63    44.64    55.36  
  19.94    30.38    36.38    659.02    59.63    14.95    0.50    0.82    0.90    0.62    44.65    55.35  
  19.94    30.37    36.43    658.78    59.74    14.79    0.50    0.82    0.90    0.62    44.65    55.35  
  19.88    30.43    36.24    668.67    58.94    15.46    0.49    0.82    0.90    0.62    44.65    55.35  
  20.10    30.48    36.24    635.70    58.17    15.47    0.49    0.83    0.90    0.62    44.65    55.35  
  20.10    30.47    36.25    636.09    58.33    15.41    0.49    0.83    0.90    0.62    44.65    55.35  
  20.12    30.56    36.23    632.13    57.14    15.48    0.49    0.83    0.90    0.61    44.65    55.35  
  19.92    30.48    36.21    663.07    58.26    15.56    0.47    0.83    0.90    0.60    44.65    55.35  
  19.70    30.41    36.15    697.25    59.21    15.77    0.47    0.82    0.90    0.60    44.65    55.35  
  19.70    30.42    36.15    697.23    59.00    15.78    0.47    0.82    0.90    0.60    44.65    55.35  
  19.70    30.41    36.15    697.11    59.10    15.77    0.47    0.82    0.90    0.60    44.65    55.35  
  19.52    30.47    36.19    725.97    58.29    15.63    0.47    0.82    0.89    0.60    44.65    55.35  
  19.54    30.58    36.31    723.55    56.95    15.22    0.46    0.83    0.89    0.60    44.65    55.35  
  19.49    30.53    36.18    730.86    57.49    15.65    0.48    0.82    0.89    0.61    44.65    55.35  
  19.59    30.43    36.14    714.97    58.88    15.82    0.50    0.82    0.90    0.62    44.65    55.35  
  19.58    30.41    36.11    716.39    59.11    15.91    0.50    0.82    0.89    0.62    44.65    55.35  
  19.45    30.18    36.14    737.48    62.40    15.83    0.53    0.83    0.90    0.64    44.64    55.36  
  19.46    30.18    36.11    735.58    62.43    15.93    0.53    0.83    0.90    0.64    44.64    55.36  
  19.48    30.87    36.72    733.68    53.22    13.83    0.56    0.84    0.91    0.66    44.63    55.37  
  19.67    30.70    36.89    701.42    55.35    13.30    0.59    0.84    0.92    0.68    44.60    55.40  
  19.67    30.69    36.92    701.90    55.42    13.20    0.59    0.84    0.92    0.68    44.60    55.40  
  19.93    31.01    37.10    660.80    51.58    12.67    0.60    0.85    0.92    0.70    44.58    55.42  
  20.15    31.29    37.25    627.97    48.30    12.24    0.60    0.85    0.92    0.69    44.59    55.41  
  20.15    31.29    37.33    628.10    48.34    12.03    0.60    0.85    0.92    0.69    44.59    55.41  
  20.05    31.33    36.96    642.47    47.83    13.08    0.58    0.84    0.91    0.68    44.61    55.39  
  19.58    31.31    36.53    716.47    48.12    14.46    0.54    0.83    0.90    0.65    44.64    55.36  
  19.57    31.30    36.50    717.14    48.19    14.56    0.54    0.83    0.90    0.65    44.64    55.36  
  19.41    31.28    36.22    745.12    48.37    15.54    0.49    0.83    0.89    0.62    44.65    55.35  
  19.41    31.30    36.28    745.25    48.26    15.30    0.49    0.83    0.89    0.62    44.65    55.35  
  19.29    31.33    35.98    765.50    47.82    16.41    0.43    0.82    0.88    0.57    44.65    55.35  
  19.29    31.32    35.94    766.34    47.93    16.55    0.43    0.82    0.88    0.57    44.65    55.35  
  19.08    31.25    35.60    803.20    48.77    17.90    0.35    0.81    0.86    0.51    44.65    55.35  
  18.67    30.95    35.32    882.57    52.29    19.11    0.31    0.81    0.86    0.49    44.65    55.35  
  18.68    30.96    35.32    882.14    52.15    19.08    0.31    0.81    0.86    0.49    44.65    55.35  
  18.07    30.71    34.75    1013.92    55.25    21.77    0.26    0.78    0.84    0.44    44.65    55.35  
  17.76    30.36    34.70    1089.28    59.86    22.06    0.25    0.78    0.83    0.44    44.65    55.35  
  17.76    30.36    34.69    1089.36    59.85    22.07    0.25    0.78    0.83    0.44    44.65    55.35  
  17.73    30.71    34.84    1096.45    55.27    21.32    0.26    0.78    0.84    0.44    44.65    55.35  
  17.77    30.27    34.71    1087.01    61.11    21.97    0.27    0.78    0.84    0.45    44.65    55.35  
  17.77    30.27    34.73    1087.14    61.11    21.90    0.27    0.78    0.84    0.45    44.65    55.35  
  17.63    30.05    34.30    1121.40    64.30    24.17    0.26    0.77    0.83    0.44    44.65    55.35  
  17.64    30.04    34.27    1120.22    64.40    24.35    0.26    0.77    0.83    0.44    44.65    55.35  
  17.64    30.26    34.40    1119.42    61.30    23.60    0.25    0.77    0.83    0.44    44.65    55.35  
  17.68    30.29    34.48    1109.32    60.87    23.16    0.26    0.78    0.83    0.44    44.65    55.35  
  17.68    30.29    34.49    1108.45    60.77    23.11    0.26    0.78    0.83    0.44    44.65    55.35  
  17.74    30.29    34.57    1093.30    60.89    22.69    0.27    0.78    0.84    0.45    44.65    55.35  
  17.83    30.29    34.64    1071.84    60.79    22.33    0.26    0.78    0.84    0.44    44.65    55.35  
  17.83    30.29    34.66    1071.89    60.76    22.23    0.26    0.78    0.84    0.44    44.65    55.35  
  17.86    30.28    34.57    1064.64    61.01    22.68    0.25    0.78    0.84    0.44    44.65    55.35  
  17.64    29.99    34.30    1119.33    65.18    24.16    0.26    0.77    0.84    0.44    44.65    55.35  
  17.64    30.00    34.31    1119.23    65.10    24.13    0.26    0.77    0.84    0.44    44.65    55.35  
  17.44    29.66    34.11    1172.32    70.29    25.25    0.26    0.77    0.83    0.44    44.65    55.35  
  17.40    29.19    33.96    1182.83    78.42    26.11    0.26    0.77    0.84    0.44    44.65    55.35  
  17.40    29.19    33.96    1183.56    78.41    26.13    0.26    0.77    0.84    0.44    44.65    55.35  
  17.37    28.79    33.58    1192.07    85.99    28.55    0.26    0.76    0.83    0.44    44.65    55.35  
  17.18    28.60    33.31    1244.99    89.76    30.34    0.26    0.75    0.82    0.44    44.65    55.35  
  16.99    28.42    33.33    1301.68    93.65    30.18    0.27    0.75    0.82    0.44    44.65    55.35  
  16.98    28.44    33.37    1302.03    93.14    29.93    0.27    0.75    0.82    0.44    44.65    55.35  
  16.99    28.44    33.35    1301.79    93.23    30.04    0.27    0.75    0.82    0.44    44.65    55.35  
  16.91    28.87    32.59    1323.70    84.33    35.80    0.34    0.74    0.80    0.48    44.65    55.35  
  17.00    29.10    32.88    1297.62    79.91    33.48    0.34    0.74    0.81    0.49    44.65    55.35  
  16.95    29.07    32.90    1313.69    80.61    33.36    0.34    0.74    0.80    0.48    44.65    55.35  
  16.95    29.07    32.90    1313.81    80.55    33.33    0.34    0.74    0.80    0.48    44.65    55.35  
  16.86    28.86    32.79    1340.99    84.54    34.22    0.34    0.74    0.80    0.48    44.65    55.35  
  16.91    28.79    32.67    1324.34    85.83    35.19    0.33    0.74    0.80    0.48    44.65    55.35  
  16.91    28.80    32.66    1325.29    85.75    35.21    0.33    0.74    0.80    0.48    44.65    55.35  
  16.96    28.68    32.72    1310.77    88.06    34.75    0.32    0.73    0.80    0.47    44.65    55.35  
  16.89    28.67    32.88    1330.37    88.29    33.46    0.32    0.73    0.80    0.47    44.65    55.35  
  16.89    28.67    32.90    1331.62    88.25    33.38    0.32    0.73    0.80    0.47    44.65    55.35  
  16.85    28.52    32.86    1342.69    91.39    33.66    0.32    0.73    0.80    0.46    44.65    55.35  
  16.86    28.53    32.87    1341.11    91.27    33.56    0.32    0.73    0.80    0.47    44.65    55.35  
  16.85    28.11    32.65    1342.75    100.48    35.36    0.31    0.72    0.80    0.46    44.65    55.35  
  16.85    28.10    32.65    1341.65    100.66    35.29    0.31    0.72    0.80    0.46    44.65    55.35  
  16.85    28.10    32.65    1341.99    100.61    35.31    0.31    0.72    0.80    0.46    44.65    55.35  
  16.91    28.11    32.52    1325.63    100.55    36.42    0.31    0.73    0.80    0.46    44.65    55.35  
  17.02    28.68    32.68    1290.31    88.10    35.08    0.31    0.73    0.80    0.46    44.65    55.35  
  17.07    29.56    33.28    1276.23    71.95    30.53    0.32    0.75    0.81    0.47    44.65    55.35  
  17.07    29.56    33.29    1276.00    72.03    30.50    0.32    0.75    0.81    0.47    44.65    55.35  
  17.10    29.48    33.40    1268.39    73.21    29.74    0.34    0.74    0.82    0.49    44.65    55.35  
  17.10    29.49    33.40    1267.92    73.18    29.70    0.34    0.74    0.82    0.49    44.65    55.35  
  17.26    29.55    33.36    1223.05    72.10    30.01    0.36    0.75    0.82    0.50    44.65    55.35  
  17.23    29.76    33.46    1231.08    68.77    29.34    0.36    0.76    0.82    0.50    44.65    55.35  
  17.15    29.46    33.46    1252.35    73.71    29.33    0.34    0.74    0.82    0.49    44.65    55.35  
  17.05    29.62    33.32    1283.84    70.97    30.24    0.32    0.75    0.81    0.47    44.65    55.35  
  17.04    29.63    33.33    1284.46    70.86    30.23    0.32    0.75    0.81    0.47    44.65    55.35  
  17.01    29.49    33.28    1294.36    73.14    30.53    0.31    0.74    0.81    0.46    44.65    55.35  
  17.01    29.49    33.30    1294.28    73.13    30.41    0.31    0.74    0.81    0.46    44.65    55.35  
  17.30    29.45    33.53    1209.67    73.81    28.88    0.31    0.75    0.82    0.47    44.65    55.35  
  17.60    29.57    33.76    1130.46    71.81    27.34    0.32    0.76    0.83    0.48    44.65    55.35  
  17.71    29.71    33.81    1100.81    69.57    27.04    0.34    0.77    0.84    0.49    44.65    55.35  
  17.72    29.70    33.81    1100.30    69.66    27.02    0.34    0.77    0.84    0.49    44.65    55.35  
  17.62    29.90    34.26    1124.92    66.61    24.36    0.34    0.77    0.84    0.50    44.65    55.35  
  17.62    29.89    34.28    1125.06    66.64    24.27    0.34    0.77    0.84    0.50    44.65    55.35  
