ÐòºÅ	TCPÁ÷ÐòºÅ	TCPÊý¾Ý¶ÎÐòºÅ	ÑÓÊ±	¶¶¶¯
315	2	2754954572	0.002939	0.000949
316	2	2754969172	0.002621	0.000318
317	2	2754983772	0.000018	0.002603
318	2	2754986692	0.002079	0.002061
319	2	2754991072	0.096381	0.094302
320	2	2754993992	0.001165	0.095216
321	2	2755004212	0.000746	0.000419
322	2	2755007132	0.000740	0.000006
323	2	2755011512	0.000741	0.000001
324	2	2755020272	0.000741	0.000000
325	2	2755029032	0.000739	0.000002
326	2	2755033412	0.001142	0.000403
327	2	2755046552	0.000750	0.000392
328	2	2755050932	0.000757	0.000007
329	2	2755055312	0.000758	0.000001
330	2	2755071372	0.000010	0.000748
331	2	2755085972	0.035079	0.035069
332	2	2755100572	0.000017	0.035062
333	2	2755103492	0.002877	0.002860
334	2	2755116632	0.000883	0.001994
335	2	2755121012	0.002516	0.001633
336	2	2755122472	0.025530	0.023014
337	2	2755125392	0.004343	0.021187
338	2	2755129772	0.009931	0.005588
339	2	2755135612	0.001174	0.008757
340	2	2755141452	0.001480	0.000306
341	2	2755145832	0.000741	0.000739
342	2	2755150212	0.001499	0.000758
343	2	2755157512	0.000741	0.000758
344	2	2755161892	0.000914	0.000173
345	2	2755169192	0.000838	0.000076
346	2	2755176492	0.003712	0.002874
347	2	2755185252	0.007941	0.004229
348	2	2755186712	0.001651	0.006290
349	2	2755189632	0.001888	0.000237
350	2	2755194012	0.001496	0.000392
351	2	2755198392	0.000753	0.000743
352	2	2755205692	0.001501	0.000748
353	2	2755210072	0.000740	0.000761
354	2	2755214452	0.001615	0.000875
355	2	2755220292	0.000749	0.000866
356	2	2755226132	0.005032	0.004283
357	2	2755237812	0.002393	0.002639
358	2	2755248032	0.000743	0.001650
359	2	2755250952	0.002417	0.001674
360	2	2755253872	0.000814	0.001603
361	2	2755261172	0.008265	0.007451
362	2	2755272852	0.002966	0.005299
363	2	2755284532	0.001166	0.001800
364	2	2755294752	0.000745	0.000421
365	2	2755300592	0.000747	0.000002
366	2	2755307892	0.000742	0.000005
367	2	2755312272	0.000739	0.000003
368	2	2755315192	0.001157	0.000418
369	2	2755325412	0.000749	0.000408
370	2	2755328332	0.000742	0.000007
371	2	2755332712	0.001141	0.000399
372	2	2755342932	0.000740	0.000401
373	2	2755345852	0.001493	0.000753
374	2	2755358992	0.000761	0.000732
375	2	2755364832	0.000761	0.000000
376	2	2755375052	0.000841	0.000080
377	2	2755377972	0.000745	0.000096
378	2	2755379432	0.001872	0.001127
379	2	2755389652	0.000781	0.001091
380	2	2755392572	0.000781	0.000000
381	2	2755401332	0.000761	0.000020
